,filename,errors count,good words count,metric,Levenshtein,
190,telefon/IMG_20190715_123230.marked.txt,2,14,0.125,57,3.5625
27,skazki/IMG_20190715_122504.marked.txt,6,50,0.10714,58,1.03571428571429
166,skazki/IMG_20190715_122829.marked.txt,2,19,0.09524,60,2.85714285714286
96,skazki/IMG_20190715_122816.marked.txt,9,35,0.20455,63,1.43181818181818
194,telefon/IMG_20190715_123542.marked.txt,7,14,0.33333,66,3.14285714285714
148,skazki/IMG_20190715_122803.marked.txt,9,23,0.28125,69,2.15625
56,skazki/IMG_20190715_121426.marked.txt,10,43,0.18868,70,1.32075471698113
120,skazki/IMG_20190715_122826.marked.txt,6,31,0.16216,70,1.89189189189189
20,skazki/IMG_20190715_121058.marked.txt,14,52,0.21212,76,1.15151515151515
54,skazki/IMG_20190715_122753.marked.txt,1,43,0.02273,76,1.72727272727273
97,skazki/IMG_20190715_122901.marked.txt,10,35,0.22222,77,1.71111111111111
106,skazki/IMG_20190715_122759.marked.txt,7,34,0.17073,77,1.8780487804878
129,skazki/IMG_20190715_122839.marked.txt,2,29,0.06452,78,2.51612903225806
125,skazki/IMG_20190715_122904.marked.txt,2,30,0.0625,81,2.53125
75,skazki/IMG_20190715_122909.marked.txt,7,39,0.15217,85,1.84782608695652
83,skazki/IMG_20190715_121436.marked.txt,17,37,0.31481,87,1.61111111111111
100,skazki/IMG_20190715_122742.marked.txt,1,34,0.02857,101,2.88571428571429
87,skazki/IMG_20190715_122854.marked.txt,4,37,0.09756,102,2.48780487804878
155,uploaded/15662143454241346711394.marked.txt,4,21,0.16,108,4.32
122,skazki/IMG_20190715_122857.marked.txt,4,31,0.11429,109,3.11428571428571
85,skazki/IMG_20190715_122232.marked.txt,4,37,0.09756,112,2.73170731707317
117,skazki/IMG_20190715_122819.marked.txt,11,32,0.25581,116,2.69767441860465
133,skazki/IMG_20190715_122812.marked.txt,11,27,0.28947,123,3.23684210526316
130,skazki/IMG_20190715_122913.marked.txt,7,29,0.19444,126,3.5
152,skazki/IMG_20190715_122325.marked.txt,7,22,0.24138,132,4.55172413793104
135,skazki/IMG_20190715_122217.marked.txt,7,26,0.21212,153,4.63636363636364
