,filename,errors count,good words count,metric,Levenshtein,
30,skazki/IMG_20190715_121747.marked.txt,12,79,0.13187,7,0.076923076923077
153,telefon/IMG_20190715_123137.marked.txt,6,39,0.13333,15,0.333333333333333
159,telefon/IMG_20190715_123145.marked.txt,6,38,0.13636,9,0.204545454545455
60,skazki/IMG_20190715_121631.marked.txt,11,69,0.1375,8,0.1
22,skazki/IMG_20190715_122504.marked.txt,13,81,0.1383,58,0.617021276595745
142,telefon/IMG_20190715_123252.marked.txt,7,43,0.14,15,0.3
131,skazki/IMG_20190715_122839.marked.txt,8,47,0.14545,78,1.41818181818182
72,skazki/IMG_20190715_121303.marked.txt,11,64,0.14667,28,0.373333333333333
151,skazki/IMG_20190715_122516.marked.txt,7,39,0.15217,18,0.391304347826087
136,skazki/IMG_20190715_122904.marked.txt,8,44,0.15385,81,1.55769230769231
174,chudo_derevo_redmi/IMG_20190715_112922.marked.txt,6,32,0.15789,12,0.31578947368421
78,ola/IMG_5200.marked.txt,12,62,0.16216,26,0.351351351351351
133,mdd-redmi1/11.marked.txt,9,45,0.16667,31,0.574074074074074
126,skazki/IMG_20190715_122803.marked.txt,10,49,0.16949,69,1.16949152542373
127,skazki/IMG_20190715_122857.marked.txt,10,49,0.16949,109,1.84745762711864
183,telefon/IMG_20190715_123324.marked.txt,6,29,0.17143,16,0.457142857142857
187,chudo_derevo_redmi/IMG_20190715_113023.marked.txt,6,29,0.17143,38,1.08571428571429
81,skazki/IMG_20190715_122854.marked.txt,13,61,0.17568,102,1.37837837837838
47,skazki/IMG_20190715_122816.marked.txt,16,74,0.17778,63,0.7
200,telefon/IMG_20190715_123426.marked.txt,5,23,0.17857,53,1.89285714285714
175,ola/IMG_5370.marked.txt,7,32,0.17949,6,0.153846153846154
10,skazki/IMG_20190715_121335.marked.txt,19,86,0.18095,25,0.238095238095238
178,telefon/IMG_20190715_123522.marked.txt,7,31,0.18421,40,1.05263157894737
65,skazki/IMG_20190715_122826.marked.txt,15,66,0.18519,70,0.864197530864197
67,skazki/IMG_20190715_122759.marked.txt,15,66,0.18519,77,0.950617283950617
182,telefon/IMG_20190715_123258.marked.txt,7,30,0.18919,10,0.27027027027027
24,skazki/IMG_20190715_121044.marked.txt,19,80,0.19192,9,0.090909090909091
54,skazki/IMG_20190715_122232.marked.txt,17,70,0.1954,112,1.28735632183908
191,telefon/IMG_20190715_123241.marked.txt,7,28,0.2,23,0.657142857142857
99,skazki/IMG_20190715_122809.marked.txt,14,56,0.2,55,0.785714285714286
4,skazki/IMG_20190715_121048.marked.txt,23,92,0.2,57,0.495652173913043
89,skazki/IMG_20190715_122913.marked.txt,15,59,0.2027,126,1.7027027027027
79,skazki/IMG_20190715_122901.marked.txt,16,62,0.20513,77,0.987179487179487
69,skazki/IMG_20190715_122405.marked.txt,17,65,0.20732,47,0.573170731707317
156,chudo_derevo_redmi/IMG_20190715_113010.marked.txt,10,38,0.20833,21,0.4375
36,skazki/IMG_20190715_121101.marked.txt,21,78,0.21212,42,0.424242424242424
185,telefon/IMG_20190715_123504.marked.txt,8,29,0.21622,53,1.43243243243243
33,skazki/IMG_20190715_121426.marked.txt,22,79,0.21782,70,0.693069306930693
168,skazki/IMG_20190715_122846.marked.txt,10,35,0.22222,37,0.822222222222222
55,skazki/IMG_20190715_122909.marked.txt,20,70,0.22222,85,0.944444444444444
100,skazki/IMG_20190715_122819.marked.txt,16,56,0.22222,116,1.61111111111111
198,telefon/IMG_20190715_123230.marked.txt,7,24,0.22581,57,1.83870967741935
169,skazki/IMG_20190715_121542.marked.txt,10,34,0.22727,44,1
117,skazki/IMG_20190715_122812.marked.txt,16,53,0.23188,123,1.78260869565217
141,skazki/IMG_20190715_122325.marked.txt,13,43,0.23214,132,2.35714285714286
202,skazki/IMG_20190715_122928.marked.txt,7,22,0.24138,54,1.86206896551724
128,skazki/IMG_20190715_121643.marked.txt,16,48,0.25,25,0.390625
