,filename,errors count,good words count,metric,Levenshtein,Letters sum,
62,skazki/IMG_20190715_121740.marked.txt,10,67,0.12987,14,381,0.036745406824147
30,skazki/IMG_20190715_121747.marked.txt,12,79,0.13187,7,425,0.016470588235294
153,telefon/IMG_20190715_123137.marked.txt,6,39,0.13333,15,202,0.074257425742574
159,telefon/IMG_20190715_123145.marked.txt,6,38,0.13636,9,216,0.041666666666667
60,skazki/IMG_20190715_121631.marked.txt,11,69,0.1375,8,366,0.021857923497268
22,skazki/IMG_20190715_122504.marked.txt,13,81,0.1383,58,408,0.142156862745098
142,telefon/IMG_20190715_123252.marked.txt,7,43,0.14,15,192,0.078125
131,skazki/IMG_20190715_122839.marked.txt,8,47,0.14545,78,245,0.318367346938775
72,skazki/IMG_20190715_121303.marked.txt,11,64,0.14667,28,317,0.088328075709779
151,skazki/IMG_20190715_122516.marked.txt,7,39,0.15217,18,253,0.071146245059289
136,skazki/IMG_20190715_122904.marked.txt,8,44,0.15385,81,241,0.336099585062241
174,chudo_derevo_redmi/IMG_20190715_112922.marked.txt,6,32,0.15789,12,157,0.076433121019108
78,ola/IMG_5200.marked.txt,12,62,0.16216,26,335,0.077611940298508
133,mdd-redmi1/11.marked.txt,9,45,0.16667,31,268,0.115671641791045
126,skazki/IMG_20190715_122803.marked.txt,10,49,0.16949,69,236,0.292372881355932
127,skazki/IMG_20190715_122857.marked.txt,10,49,0.16949,109,265,0.411320754716981
183,telefon/IMG_20190715_123324.marked.txt,6,29,0.17143,16,153,0.104575163398693
187,chudo_derevo_redmi/IMG_20190715_113023.marked.txt,6,29,0.17143,38,161,0.236024844720497
81,skazki/IMG_20190715_122854.marked.txt,13,61,0.17568,102,320,0.31875
47,skazki/IMG_20190715_122816.marked.txt,16,74,0.17778,63,356,0.176966292134831
200,telefon/IMG_20190715_123426.marked.txt,5,23,0.17857,53,119,0.445378151260504
175,ola/IMG_5370.marked.txt,7,32,0.17949,6,162,0.037037037037037
10,skazki/IMG_20190715_121335.marked.txt,19,86,0.18095,25,425,0.058823529411765
178,telefon/IMG_20190715_123522.marked.txt,7,31,0.18421,40,166,0.240963855421687
65,skazki/IMG_20190715_122826.marked.txt,15,66,0.18519,70,316,0.221518987341772
67,skazki/IMG_20190715_122759.marked.txt,15,66,0.18519,77,319,0.241379310344828
182,telefon/IMG_20190715_123258.marked.txt,7,30,0.18919,10,159,0.062893081761006
24,skazki/IMG_20190715_121044.marked.txt,19,80,0.19192,9,591,0.015228426395939
54,skazki/IMG_20190715_122232.marked.txt,17,70,0.1954,112,329,0.340425531914894
191,telefon/IMG_20190715_123241.marked.txt,7,28,0.2,23,138,0.166666666666667
99,skazki/IMG_20190715_122809.marked.txt,14,56,0.2,55,305,0.180327868852459
4,skazki/IMG_20190715_121048.marked.txt,23,92,0.2,57,548,0.104014598540146
89,skazki/IMG_20190715_122913.marked.txt,15,59,0.2027,126,286,0.440559440559441
79,skazki/IMG_20190715_122901.marked.txt,16,62,0.20513,77,358,0.215083798882682
69,skazki/IMG_20190715_122405.marked.txt,17,65,0.20732,47,339,0.138643067846608
156,chudo_derevo_redmi/IMG_20190715_113010.marked.txt,10,38,0.20833,21,220,0.095454545454546
36,skazki/IMG_20190715_121101.marked.txt,21,78,0.21212,42,522,0.080459770114943
185,telefon/IMG_20190715_123504.marked.txt,8,29,0.21622,53,156,0.33974358974359
33,skazki/IMG_20190715_121426.marked.txt,22,79,0.21782,70,409,0.171149144254279
168,skazki/IMG_20190715_122846.marked.txt,10,35,0.22222,37,168,0.220238095238095
55,skazki/IMG_20190715_122909.marked.txt,20,70,0.22222,85,344,0.247093023255814
100,skazki/IMG_20190715_122819.marked.txt,16,56,0.22222,116,313,0.370607028753994
198,telefon/IMG_20190715_123230.marked.txt,7,24,0.22581,57,120,0.475
169,skazki/IMG_20190715_121542.marked.txt,10,34,0.22727,44,210,0.20952380952381
117,skazki/IMG_20190715_122812.marked.txt,16,53,0.23188,123,256,0.48046875
141,skazki/IMG_20190715_122325.marked.txt,13,43,0.23214,132,222,0.594594594594595
202,skazki/IMG_20190715_122928.marked.txt,7,22,0.24138,54,108,0.5
128,skazki/IMG_20190715_121643.marked.txt,16,48,0.25,25,275,0.090909090909091
3,skazki/IMG_20190715_121058.marked.txt,31,93,0.25,76,517,0.147001934235977
196,telefon/IMG_20190715_123156.marked.txt,9,26,0.25714,6,152,0.039473684210526
98,skazki/IMG_20190715_122217.marked.txt,20,56,0.26316,153,288,0.53125
173,telefon/IMG_20190715_123303.marked.txt,12,33,0.26667,26,168,0.154761904761905
180,telefon/IMG_20190715_123336.marked.txt,12,31,0.27907,27,181,0.149171270718232
38,skazki/IMG_20190715_121436.marked.txt,31,78,0.2844,87,402,0.216417910447761
188,telefon/IMG_20190715_123250.marked.txt,12,29,0.29268,25,179,0.139664804469274
162,uploaded/15662143454241346711394.marked.txt,16,37,0.30189,108,185,0.583783783783784
199,mdd-redmi1/02.marked.txt,10,23,0.30303,1,144,0.006944444444444
209,chudo_derevo_redmi/IMG_20190715_112912.marked.txt,5,10,0.33333,2,79,0.025316455696203
48,skazki/IMG_20190715_121114.marked.txt,39,73,0.34821,47,532,0.088345864661654
208,skazki/IMG_20190715_121011.marked.txt,6,11,0.35294,6,79,0.075949367088608
201,mdd_cannon1/02.marked.txt,12,22,0.35294,10,138,0.072463768115942
206,telefon/IMG_20190715_123542.marked.txt,11,20,0.35484,66,148,0.445945945945946
211,mdd_cannon1/01crop.marked.txt,4,7,0.36364,3,72,0.041666666666667
210,mdd-redmi1/01crop.marked.txt,4,7,0.36364,5,69,0.072463768115942
192,telefon/IMG_20190715_123312.marked.txt,19,28,0.40426,34,197,0.17258883248731
205,telefon/IMG_20190715_123244.marked.txt,15,21,0.41667,28,149,0.187919463087248
203,telefon/IMG_20190715_123443.marked.txt,16,22,0.42105,52,138,0.376811594202899
167,skazki/IMG_20190715_121019.marked.txt,26,35,0.42623,14,244,0.057377049180328
186,uploaded/IMG_20190731_131541.marked.txt,23,29,0.44231,38,212,0.179245283018868
207,skazki/IMG_20190715_121126.marked.txt,18,19,0.48649,18,193,0.093264248704663
